time,open,high,low,close,volume
2022-07-04,75600,75600,74830,74830,12800
2022-07-05,74390,75220,73920,74150,16400
2022-07-06,72940,73380,72700,72700,5500
2022-07-07,72410,72410,70570,70820,14800
2022-07-08,70820,72460,70820,72220,5200
2022-07-11,72220,72220,68850,70000,14200
2022-07-12,70000,70540,69950,70200,4800
2022-07-13,70230,71010,69080,70000,22600
2022-07-14,72180,72180,70040,70040,8900
2022-07-15,71010,71010,69850,69850,8300
2022-07-18,70780,70780,69560,69560,20000
2022-07-19,70780,70780,69950,70040,17200
2022-07-20,71010,71010,69950,70730,15200
2022-07-21,70730,70780,70540,70570,3200
2022-07-22,71880,74450,71010,73920,21200
2022-07-25,74390,74880,72940,73920,18200
2022-07-26,73720,73920,73430,73620,14100
2022-07-27,73620,78740,73620,77300,39600
2022-07-28,78650,79670,77300,78120,37500
2022-07-29,78200,79130,77970,77970,15600
2022-08-01,77920,78200,77780,77970,55500
2022-08-02,77920,78500,77780,77780,23900
2022-08-03,79130,79130,78020,78060,25800
2022-08-04,78780,79130,77880,78260,33900
2022-08-05,80070,80340,78200,78200,98200
2022-08-08,78200,78200,76850,76850,20000
2022-08-09,77220,78560,77220,77750,45900
2022-08-10,77930,77930,76500,77030,63000
2022-08-11,77030,77030,75870,75970,83000
2022-08-12,76850,76850,75520,76850,9000
2022-08-15,76850,77750,75970,76770,29800
2022-08-16,76850,76850,76060,76850,15400
2022-08-17,77660,77750,76410,77310,34000
2022-08-18,77310,77310,76600,76850,34400
2022-08-19,76850,77310,76330,77120,29200
2022-08-22,76140,76850,75790,75790,27300
2022-08-23,75520,76240,75160,75970,30200
2022-08-24,75970,76410,75870,75970,21200
2022-08-25,76140,76140,75870,75870,21300
2022-08-26,75970,75970,75790,75790,22700
2022-08-29,75610,75610,74530,75070,32900
2022-08-30,76140,76850,75160,76850,16400
2022-08-31,77390,77580,76410,76600,21300
2022-09-05,75970,76850,75520,76850,24300
2022-09-06,77750,77750,75970,75970,6500
2022-09-07,75970,75970,75330,75330,14800
2022-09-08,75260,75970,74710,75160,7400
2022-09-09,74800,76140,74630,76140,16900
2022-09-12,75070,75070,74900,75070,7400
2022-09-13,75070,75160,74530,74630,6500
2022-09-14,74980,75430,74180,75430,12600
2022-09-15,75970,75970,74630,74800,7700
2022-09-16,74630,74710,72380,72480,29500
2022-09-19,72570,73730,71940,71940,17100
2022-09-20,71500,73730,71500,73550,61300
2022-09-21,71590,73460,71590,72210,8500
2022-09-22,72130,72380,71500,72380,9400
2022-09-23,72380,72840,72300,72300,5800
2022-09-26,72030,72030,69710,70160,35000
2022-09-27,70060,70060,68820,68820,23300
2022-09-28,68820,68820,65330,66220,16800
2022-09-29,65420,68820,65420,65860,115700
2022-09-30,63010,67740,63010,67740,82500
2022-10-03,67030,67480,65860,66930,68700
2022-10-04,66930,67130,65690,67030,20100
2022-10-05,67910,68370,67030,67030,9200
2022-10-06,67030,67390,66930,66930,7900
2022-10-07,65780,65780,63900,65690,14400
2022-10-10,64519,66220,64430,64790,20400
2022-10-11,65150,65150,63370,63900,8800
2022-10-12,63450,65690,63450,65690,15800
2022-10-13,65150,66130,65150,65690,25700
2022-10-14,65690,65960,64980,65150,9900
2022-10-17,65150,65590,64980,64980,42900
2022-10-18,66670,66670,65060,65150,9600
2022-10-19,65150,66930,65150,66220,62800
2022-10-20,66930,67030,65510,66320,9300
2022-10-21,66320,66490,64790,64790,22100
2022-10-24,66130,66130,63370,63370,15800
2022-10-25,62560,65150,60330,63450,88400
2022-10-26,64790,65690,63900,64790,13700
2022-10-27,66130,66130,64349,65960,15700
2022-10-28,66130,66850,64980,64980,61400
2022-10-31,67030,67030,64250,64250,19300
2022-11-01,65239,65239,63900,64349,18400
2022-11-02,66050,66050,64250,65239,11700
2022-11-03,65239,65239,64349,64980,3600
2022-11-04,64879,65239,63900,65239,29900
2022-11-07,64170,65239,64170,64349,34700
2022-11-08,65060,65060,64250,64250,7700
2022-11-09,65150,65239,64709,64879,4300
2022-11-10,64879,64879,63010,63450,43900
2022-11-11,63450,64080,63450,63630,13800
2022-11-14,63630,63630,62110,62560,15900
2022-11-15,61670,62560,58190,58190,91400
2022-11-16,54160,62030,54160,61580,36300
2022-11-17,61670,63450,61670,63370,10200
2022-11-18,63370,63810,61750,63810,40000
2022-11-21,64349,64349,61670,62730,5700
2022-11-22,63370,64349,62560,64349,40800
2022-11-23,63450,63450,63010,63010,3800
2022-11-24,62110,63450,62030,63270,6400
2022-11-25,63370,63450,62110,63370,2600
2022-11-28,63370,64430,62560,63270,20300
2022-11-29,63450,63450,62730,63450,14100
2022-11-30,63450,64250,63450,63450,17900
2022-12-01,64170,64349,63450,63720,23700
2022-12-02,63270,64349,63270,64349,23500
2022-12-05,64349,67910,64349,67910,41900
2022-12-06,68010,68010,65510,66760,7800
2022-12-07,66760,67030,65330,66130,82500
2022-12-08,65690,66850,65590,65690,38700
2022-12-09,66520,67530,65780,67530,14400
2022-12-12,67530,68370,66800,66800,9800
2022-12-13,67450,67900,65780,67900,29200
2022-12-14,67900,68370,67260,67260,14100
2022-12-15,68370,68370,66610,66610,2900
2022-12-16,66610,67080,65590,66980,61400
2022-12-19,66980,67900,66150,67080,66900
2022-12-20,66520,67080,65220,65220,23000
2022-12-21,65319,65690,64580,64769,20100
2022-12-22,65590,66610,64849,65870,6400
2022-12-23,65960,66060,65870,65870,39300
2022-12-26,65220,66520,65220,65690,109100
2022-12-27,65780,65780,65780,65780,21300
2022-12-27,65780,66610,65780,66610,57600
2022-12-28,67530,67530,66610,67080,28600
2022-12-29,67080,67260,67080,67080,30200
2022-12-30,68470,69390,66710,69390,78000
2023-01-03,68550,69390,68280,68280,16300
2023-01-04,68370,68650,67630,67720,11100
2023-01-05,67820,69290,67530,68000,15400
2023-01-06,68000,70310,67530,68100,65700
2023-01-09,68280,68650,68280,68470,24200
2023-01-10,68550,68920,68470,68920,26400
2023-01-11,68920,69760,67530,67530,49200
2023-01-12,67530,69660,67530,68370,35300
2023-01-13,68370,68370,67530,68280,39600
2023-01-16,68370,68740,67720,68370,22900
2023-01-17,67820,68280,67720,68280,78400
2023-01-18,68280,68550,68100,68180,57500
2023-01-19,68470,68470,68100,68180,55900
2023-01-27,68180,68920,68180,68550,61900
2023-01-30,68550,68550,68000,68000,51300
2023-01-31,68000,68740,67080,67820,56300
2023-02-01,68370,68370,67260,67350,87600
2023-02-02,67350,67900,66980,67450,49100
2023-02-03,67450,69290,67450,69290,71300
2023-02-06,69390,69850,68000,68370,90400
2023-02-07,69390,69390,67260,67350,64800
2023-02-08,68470,68470,67530,68000,53900
2023-02-09,68370,68650,67530,68000,39100
2023-02-10,68100,68650,68000,68650,38800
2023-02-13,68650,68650,67530,67720,28100
2023-02-14,67720,68180,66890,66890,43600
2023-02-15,66890,68000,66610,67530,29800
2023-02-16,67530,67530,67260,67350,8800
2023-02-17,67350,67530,67080,67080,6700
2023-02-20,67080,67260,67080,67080,36600
2023-02-21,67820,67820,66710,67630,29700
2023-02-22,66710,67720,66710,67630,39400
2023-02-23,67900,67900,67350,67720,62700
2023-02-24,67820,68370,67530,68280,36200
2023-02-27,68280,68280,67080,67080,11500
2023-02-28,67530,67530,66890,66980,4700
2023-03-01,67080,67080,66800,67080,5200
2023-03-02,66890,68000,66890,67160,2500
2023-03-03,66800,67530,66800,67530,6400
2023-03-06,67530,67530,67080,67080,2800
2023-03-07,67080,67080,66800,66800,3700
2023-03-08,67530,67530,66800,66800,1900
2023-03-09,67350,67450,66610,66800,24600
2023-03-10,66800,66800,65690,65690,27600
2023-03-13,65780,65780,63830,63830,50200
2023-03-14,63930,65220,63930,64769,14600
2023-03-15,64950,65129,64670,64670,24500
2023-03-16,64110,64580,63380,63380,37200
2023-03-17,63460,63830,63380,63380,37200
2023-03-20,63830,63830,62170,62450,21400
2023-03-21,62640,62910,62270,62540,23700
2023-03-22,62640,62640,62450,62540,4500
2023-03-23,62730,62730,62640,62640,2200
2023-03-24,62910,62910,61890,61990,24200
2023-03-27,62450,62450,61430,61430,14400
2023-03-28,61060,61520,60880,60880,49100
2023-03-29,61060,61060,59760,59950,59300
2023-03-30,59580,61520,59580,61520,20800
2023-03-31,62730,62730,61430,61430,70300
2023-04-03,61990,62910,61990,62910,38700
2023-04-04,64209,64209,62910,63010,2600
2023-04-05,62270,62640,62170,62640,600
2023-04-06,61800,61990,61800,61800,6900
2023-04-07,61150,61990,61150,61800,8000
2023-04-07,61150,61890,61150,61890,2600
2023-04-10,61340,61990,61340,61800,11800
2023-04-11,61710,61890,61620,61890,3100
2023-04-12,62270,62270,61520,61710,7800
2023-04-13,61710,61710,61430,61520,12100
2023-04-14,62270,62270,61620,61710,17900
2023-04-17,61990,61990,61430,61430,17900
2023-04-18,61150,61340,61150,61340,25900
2023-04-19,61800,61800,60970,61060,26000
2023-04-20,61060,61250,60690,60690,17900
2023-04-21,60690,60690,60130,60410,21500
2023-04-24,60230,60330,59670,60230,8800
2023-04-25,61060,61060,60970,61060,3100
2023-04-26,60780,60780,60690,60690,300
2023-04-27,60510,60600,60040,60600,15700
2023-04-28,60130,60780,60130,60780,3900
2023-05-04,60880,60970,60690,60780,18200
2023-05-05,60690,60690,60690,60690,1700
2023-05-08,60880,60880,60230,60330,3800
2023-05-09,60230,60690,60230,60690,2500
2023-05-10,60600,60600,60230,60600,2400
2023-05-11,60780,60880,60600,60600,25200
2023-05-12,60880,60970,60690,60880,10400
2023-05-15,60780,61620,60690,60780,26400
2023-05-16,60880,60970,60690,60880,9800
2023-05-17,60880,61520,60600,60970,19200
2023-05-18,61060,61060,60600,60690,8400
2023-05-19,60780,60880,60600,60690,10900
2023-05-22,60600,60690,60410,60410,18400
2023-05-23,60410,60780,60410,60410,20800
2023-05-24,60510,61060,60510,60880,15700
2023-05-25,60410,61150,60410,61060,3800
2023-05-26,61060,61250,60690,61150,9000
2023-05-29,61150,61250,60970,61150,19200
2023-05-30,61520,61520,61060,61060,11800
2023-05-31,61250,61250,61060,61060,11600
2023-06-01,61060,61430,60880,61060,14300
2023-06-02,61340,61430,61060,61060,11300
2023-06-05,62270,62270,61620,61620,26300
2023-06-06,61710,63830,61710,62450,124800
2023-06-07,62450,62450,62270,62270,22600
2023-06-08,62450,62450,62360,62450,22600
2023-06-09,62450,63380,62450,63380,19600
2023-06-12,63380,64769,63380,63650,68800
2023-06-13,63650,63650,62910,63380,8900
2023-06-14,63380,63380,63190,63380,27600
2023-06-15,63380,63380,63010,63380,11600
2023-06-16,63460,63650,63280,63280,60600
2023-06-19,63280,63750,63280,63750,72800
2023-06-20,63750,63830,63380,63380,61200
2023-06-21,63380,63830,63380,63830,28600
2023-06-22,63830,64019,63380,63380,61000
2023-06-23,63380,63380,63010,63380,36600
2023-06-26,63380,63380,62910,63380,66200
2023-06-27,63380,64209,63380,63930,194300
2023-06-28,64769,64769,64019,64400,102200
2023-06-29,64209,64400,63650,63750,48300
2023-06-30,63750,63750,63090,63190,81400
2023-07-03,63190,63380,62910,62910,26600
2023-07-04,63010,63560,63010,63380,31000
2023-07-05,63650,63650,63280,63380,51000
2023-07-06,63380,63650,63090,63190,59700
2023-07-07,63190,63380,62910,62910,57300
2023-07-10,62910,63380,62820,62820,46100
2023-07-11,63380,63380,62820,62910,42500
2023-07-12,63010,63010,62730,62820,28700
2023-07-13,62820,63010,62730,62910,39800
2023-07-14,63010,63010,62730,62910,75600
2023-07-17,63010,63280,62910,63010,89200
2023-07-18,63010,63010,62730,62730,52600
2023-07-19,63190,64580,63190,63190,91400
2023-07-20,63280,64300,63190,64209,96900
2023-07-21,63930,64110,63650,63750,116700
2023-07-24,64480,66890,64300,65960,147900
2023-07-25,66890,66890,66240,66890,84100
2023-07-26,66890,66890,66340,66710,32100
2023-07-27,66710,67080,66610,66980,102100
2023-07-28,66980,67260,66980,67160,66000
2023-07-31,67260,68280,67260,68180,98500
2023-08-01,68840,68840,67820,68000,42700
2023-08-02,68100,68100,66540,66640,76300
2023-08-03,66640,67030,66350,67030,65600
2023-08-04,67030,67130,66640,67130,20400
2023-08-07,67320,67320,65770,65770,55000
2023-08-08,66060,66250,65770,66060,49000
2023-08-09,66060,66060,65180,65180,44100
2023-08-10,65180,65670,65090,65379,21700
2023-08-11,65090,65379,64700,65379,33700
2023-08-14,65570,66060,65379,65379,9300
2023-08-15,65379,65470,64890,64989,25800
2023-08-16,65280,65280,64790,65090,30300
2023-08-17,68490,68490,65280,66250,38800
2023-08-18,66250,66250,64500,64599,53600
2023-08-21,64599,64989,63240,64890,23600
2023-08-22,64500,65860,64500,65860,90300
2023-08-23,65860,65960,65180,65280,5800
2023-08-24,65280,65570,65180,65379,15200
2023-08-25,65090,65090,64500,64989,11800
2023-08-28,64989,65570,64989,65470,52200
2023-08-29,65470,65470,65090,65180,17000
2023-08-30,65180,65280,64790,65090,88400
2023-08-31,65180,65770,64989,65090,20500
2023-09-05,65379,65470,64599,64700,61400
2023-09-06,64700,65090,64500,64790,47600
2023-09-07,64790,65090,64500,65090,113200
2023-09-08,65090,65570,64890,65379,27300
2023-09-11,65670,66540,65670,66540,115000
2023-09-12,66150,67510,66150,67220,38600
2023-09-13,67220,67710,66540,67710,77400
2023-09-14,67710,67710,66450,66540,51000
2023-09-15,66060,67420,65960,66830,18200
2023-09-18,66250,66740,65670,66640,17100
2023-09-19,66060,67030,66060,67030,24000
2023-09-20,67030,67220,66540,67030,17900
2023-09-21,67030,67030,66640,66640,10700
2023-09-22,66060,66450,64599,66350,48100
2023-09-25,66060,66350,65090,65090,24800
2023-09-26,65090,65570,64599,64700,25300
2023-09-27,64700,64890,64310,64790,28000
2023-09-28,65180,65180,64599,64890,15500
2023-09-29,64790,65960,64700,65570,16500
2023-10-02,65180,66060,65180,65960,11600
2023-10-03,65180,65960,64890,65960,39100
2023-10-04,65860,65960,65280,65570,24400
2023-10-05,65570,65570,64989,65180,14300
2023-10-06,65280,65570,65090,65570,6900
2023-10-09,64790,66060,64700,65960,13100
2023-10-10,65960,66250,65860,66060,10400
2023-10-11,66150,66150,65860,66060,9600
2023-10-12,66060,66640,65960,66450,28900
2023-10-13,66540,66540,65670,66450,12000
2023-10-16,66060,66350,65280,65670,20300
2023-10-17,65280,66250,65280,66060,23700
2023-10-18,66350,66350,64110,66060,41400
2023-10-19,66830,66830,65570,66830,65900
2023-10-20,66830,66830,65960,66740,17100
2023-10-23,66640,66640,65860,65960,11500
2023-10-24,66060,66060,65180,65770,35700
2023-10-25,66250,66250,65470,65470,18900
2023-10-26,65180,65280,64410,64700,65800
2023-10-27,64700,64890,63340,63430,42700
2023-10-30,63430,63430,62370,62370,37500
2023-10-31,62370,64019,61490,61980,25600
2023-11-01,61980,61980,60710,61100,47400
2023-11-02,61100,62460,60620,61590,29000
2023-11-03,61590,62070,61200,61200,19700
2023-11-06,61200,63530,61200,62460,24300
2023-11-07,63340,63340,61490,61590,29700
2023-11-08,61590,62660,61490,62660,29700
2023-11-09,62270,63140,62170,62660,11400
2023-11-10,62750,62750,62170,62270,14900
2023-11-13,61980,63140,61980,62270,22500
2023-11-14,62950,63050,62660,62660,5900
2023-11-15,63140,63430,63050,63430,71200
2023-11-16,63430,63820,62950,63730,17300
2023-11-17,63340,63920,63340,63530,11400
2023-11-20,62560,63530,62560,63530,4100
2023-11-21,62750,63530,62750,63050,5300
2023-11-22,63050,63630,63050,63530,8000
2023-11-23,63730,63730,63240,63340,6000
2023-11-24,63140,63820,62750,63820,11000
2023-11-27,63920,63920,62850,62950,14500
2023-11-28,62950,63140,62850,63050,3100
2023-11-29,63630,63920,62370,63820,10300
2023-11-30,62750,63820,62750,63340,5000
2023-12-01,64019,64019,63140,63340,9700
2023-12-04,64019,64019,63340,63340,11700
2023-12-05,63240,63630,63140,63340,28300
2023-12-06,63530,63630,63140,63340,14000
2023-12-07,63430,63430,62950,63240,31500
2023-12-08,63530,63630,63140,63630,28600
2023-12-11,63630,64110,63240,63920,72600
2023-12-12,64599,64890,63730,63730,11000
2023-12-13,64110,64110,63240,63340,11900
2023-12-14,63240,64019,63140,63140,29100
2023-12-15,63240,64410,63140,64110,29600
2023-12-18,64110,64110,63140,64110,23000
2023-12-19,64110,64310,63530,64110,28300
2023-12-20,64599,64599,64110,64599,74600
2023-12-21,64790,64989,64110,64700,10200
2023-12-22,64700,65090,63920,64110,29600
2023-12-25,63730,64310,63530,63920,26100
2023-12-26,64110,64209,63820,63820,41300
2023-12-27,63920,65090,63920,64989,28700
2023-12-28,64989,65570,64310,65570,20100
2023-12-29,65570,69850,65090,69850,217900
2024-01-02,68970,68970,66250,68000,114600
2024-01-03,67200,69000,67200,69000,20800
2024-01-04,69000,69000,67500,67600,22500
2024-01-05,68000,68100,67200,67300,27000
2024-01-08,67200,67200,66000,66600,16000
2024-01-09,66800,66800,66500,66700,14800
2024-01-10,66700,66800,66000,66200,14700
2024-01-11,66200,66800,66100,66200,17100
2024-01-12,66200,66200,65600,65700,28700
2024-01-15,65900,66000,65600,65800,9600
2024-01-16,66200,66200,65500,66100,43300
2024-01-17,66000,66100,65900,66000,43800
2024-01-18,66000,66500,66000,66000,17800
2024-01-19,66000,66800,66000,66300,31300
2024-01-22,66000,66000,64500,64800,87700
2024-01-23,64800,64800,64500,64599,32900
2024-01-24,64700,64700,64099,64400,36300
2024-01-25,64500,65800,64300,64500,34100
2024-01-26,67000,67000,65500,66200,40800
2024-01-29,66500,66600,65600,65600,28200
2024-01-30,66000,66000,65400,65600,31200
2024-01-31,65600,70100,65200,69400,422000
2024-02-01,69400,71600,69400,71600,186100
2024-02-02,71600,72500,70500,70800,79000
2024-02-05,71000,71000,70000,70600,93100
2024-02-06,70600,72500,70600,71500,185300
2024-02-07,71500,72600,71500,72100,85400
2024-02-15,72400,72500,71100,72200,57300
2024-02-16,71500,73000,71500,72000,126900
2024-02-19,72800,73300,71500,72300,102600
2024-02-20,72600,73300,72300,73000,63000
2024-02-21,73000,75500,72500,75000,81200
2024-02-22,76000,76000,74500,75000,34300
2024-02-23,75000,75400,73600,73800,91600
2024-02-26,74000,75500,73800,75400,95900
2024-02-27,75400,76000,74000,74700,39400
2024-02-28,74500,75700,74500,75500,63500
2024-02-29,75500,75900,74700,75100,84100
